id	genes
R10186	(k249_8769_3) or (k249_8769_11) or (k249_531167_3) or (k249_531167_4) or (k249_767797_2) or (k249_923794_1)
R10185	(k249_8769_5) or (k249_8769_6) or (k249_8769_7) or (k249_8769_10)
R06836	k249_8769_12
R04144	(k249_13594_1) or (k249_376197_1) or (k249_686474_8)
R06895	k249_13594_8
R00259	(k249_13594_9) or (k249_88836_2)
R02649	(k249_13594_9) or (k249_88836_2) or (k249_2998397_17)
R00965	(k249_13594_11) or (k249_1054227_8) or (k249_2998397_8)
R01870	(k249_13594_11) or (k249_1054227_8) or (k249_2435177_2)
R08231	(k249_13594_11) or (k249_1054227_8)
R04277	k249_49129_1
R04278	k249_49129_2
R04279	k249_49129_2
R04418	k249_49129_2
R04419	k249_49129_2
R02788	(k249_51520_1) or (k249_376197_23)
R00291	(k249_52663_14) or (k249_560581_2)
R02984	(k249_52663_14) or (k249_560581_2)
R05705	k249_69304_1
R05706	k249_69304_1
R08014	k249_69304_1
R08017	k249_69304_1
R08042	k249_69304_1
R00125	k249_76775_4
R04112	(k249_81429_2) or (k249_154338_8) or (k249_2147958_21)
R02101	(k249_81429_6) or (k249_454893_3)
R01518	(k249_81429_15) or (k249_531167_2)
R01931	(k249_81429_16) or (k249_1459546_16)
R00253	(k249_81429_19) or (k249_166261_5) or (k249_226847_1) or (k249_2550746_9) or (k249_2550746_11)
R06988	k249_81429_19
R09284	k249_81429_19
R01051	k249_81429_23
R01541	k249_81429_23
R02750	k249_81429_23
R03315	k249_81429_23
R01055	k249_81429_24
R01175	k249_81429_25
R01279	k249_81429_25
R03777	k249_81429_25
R03857	k249_81429_25
R03990	k249_81429_25
R04095	k249_81429_25
R04751	k249_81429_25
R04754	k249_81429_25
R00582	(k249_81429_34) or (k249_154338_20)
R00866	k249_81429_37
R03819	k249_81429_37
R06782	(k249_81429_37) or (k249_445190_2)
R06783	(k249_81429_37) or (k249_445190_2)
R01716	(k249_81429_42) or (k249_154338_21) or (k249_241809_19)
R03503	(k249_81429_42) or (k249_2970280_5)
R03504	(k249_81429_42) or (k249_81429_43) or (k249_2970280_5)
R11037	(k249_81429_43) or (k249_2970280_5)
R11073	(k249_81429_43) or (k249_2970280_5)
R00801	(k249_81429_53) or (k249_411234_2) or (k249_608065_1) or (k249_798161_1) or (k249_888932_7)
R01718	(k249_81429_53) or (k249_411234_2)
R06199	(k249_81429_53) or (k249_411234_2)
R01954	k249_81429_67
R00130	(k249_88836_1) or (k249_182020_11)
R02282	k249_88836_2
R04587	k249_88836_5
R01150	(k249_88836_8) or (k249_659916_1)
R00897	(k249_89425_4) or (k249_657971_12) or (k249_1426829_2)
R03601	(k249_89425_4) or (k249_657971_12) or (k249_1426829_2)
R04640	(k249_98619_2) or (k249_545032_4) or (k249_2188045_11)
R01238	(k249_98619_3) or (k249_2806495_3)
R04986	(k249_98619_3) or (k249_2806495_3)
R00823	k249_98619_4
R00825	k249_98619_4
R03391	(k249_98619_4) or (k249_416418_1)
R03392	(k249_98619_4) or (k249_416418_1)
R00235	(k249_98619_8) or (k249_531167_18) or (k249_945323_22)
R00236	(k249_98619_8) or (k249_531167_18) or (k249_945323_22)
R00316	(k249_98619_8) or (k249_531167_18) or (k249_945323_22)
R00926	(k249_98619_8) or (k249_531167_18) or (k249_945323_22)
R01354	(k249_98619_8) or (k249_531167_18) or (k249_945323_22)
R01878	(k249_98619_10) or (k249_798161_30)
R02485	(k249_98619_10) or (k249_798161_30)
R08221	(k249_98619_10) or (k249_798161_30)
R01402	(k249_98619_11) or (k249_2841686_13)
R01561	(k249_98619_11) or (k249_2893409_5)
R01863	(k249_98619_11) or (k249_2893409_5)
R01969	k249_98619_11
R02147	(k249_98619_11) or (k249_2893409_5)
R02294	k249_98619_11
R02295	k249_98619_11
R02297	(k249_98619_11) or (k249_2893409_5)
