udcpdp	c	e
kdo2lipid4	c	e
murein5p5p	p	e
murein5p5p	c	e
2fe2s	c	e
2ohph	c	e
3mob	c	e
4fe4s	c	e
4per	c	e
ala-D	c	e
ala-D	p	e
alac-S	c	e
amet	c	e
arg-L	c	e
asn-L	c	e
asp-L	c	e
atp	c	e
bmocogdp	c	e
ca2	c	e
cl	c	e
co2	c	e
coa	c	e
cobalt2	c	e
ctp	c	e
cu2	c	e
cys-L	c	e
datp	c	e
dctp	c	e
dgtp	c	e
dttp	c	e
fad	c	e
fdp	c	e
fe2	c	e
fe3	c	e
gln-L	c	e
gly	c	e
gtp	c	e
his-L	c	e
hom-L	c	e
ile-L	c	e
k	c	e
leu-L	c	e
lys-L	c	e
met-L	c	e
mg2	c	e
mn2	c	e
murein5px4p	p	e
nadh	c	e
nadph	c	e
nh4	c	e
ni2	c	e
no2	c	e
o2s	c	e
oaa	c	e
pdx5p	c	e
pe160	p	e
pe160	c	e
pe160	p	c
pe161	c	e
pe161	p	e
pe161	p	c
phe-L	c	e
pheme	c	e
pi	c	e
pro-L	c	e
ribflv	c	e
s7p	c	e
ser-L	c	e
sheme	c	e
so4	c	e
thf	c	e
thmpp	c	e
thr-L	c	e
trp-L	c	e
tyr-L	c	e
uaagmda	c	e
utp	c	e
val-L	c	e
zn2	c	e
ni2	c	e
mn2	c	e
mg2	c	e
cl	c	e
zn2	c	e
nac	c	e
pydxn	c	e
cobalt2	c	e
na1	c	e
