id	genes
R10204	(k249_8769_8) or (k249_8769_9)
R01332	(k249_52663_12) or (k249_1459546_26)
R03663	k249_52663_18
R02111	(k249_69304_6) or (k249_776458_1) or (k249_776458_2) or (k249_776458_3) or (k249_830315_1) or (k249_914920_3) or (k249_1049152_8) or (k249_1399648_43) or (k249_1675960_2)
R03105	(k249_81429_16) or (k249_1459546_16)
R04519	k249_81429_20
R02661	k249_81429_25
R03172	k249_81429_25
R04432	k249_81429_25
R02055	k249_81429_30
R10648	(k249_81429_44) or (k249_822466_10)
R01791	(k249_81429_53) or (k249_411234_2)
R00375	(k249_81429_55) or (k249_98619_26) or (k249_98619_32) or (k249_154338_10) or (k249_154338_11) or (k249_425422_1) or (k249_578838_26) or (k249_632589_11) or (k249_847715_15) or (k249_1399648_17) or (k249_1448588_13) or (k249_1814917_4) or (k249_2653954_1) or (k249_2667867_5)
R00376	(k249_81429_55) or (k249_98619_26) or (k249_98619_32) or (k249_154338_10) or (k249_154338_11) or (k249_425422_1) or (k249_578838_26) or (k249_632589_11) or (k249_847715_15) or (k249_1399648_17) or (k249_1448588_13) or (k249_1814917_4) or (k249_2653954_1) or (k249_2667867_5)
R00377	(k249_81429_55) or (k249_98619_26) or (k249_98619_32) or (k249_154338_10) or (k249_154338_11) or (k249_425422_1) or (k249_578838_26) or (k249_632589_11) or (k249_847715_15) or (k249_1399648_17) or (k249_1448588_13) or (k249_1814917_4) or (k249_2653954_1) or (k249_2667867_5)
R00378	(k249_81429_55) or (k249_98619_26) or (k249_98619_32) or (k249_154338_10) or (k249_154338_11) or (k249_425422_1) or (k249_578838_26) or (k249_632589_11) or (k249_847715_15) or (k249_1399648_17) or (k249_1448588_13) or (k249_1814917_4) or (k249_2653954_1) or (k249_2667867_5)
R03657	k249_81429_56
R07232	k249_81429_63
R04428	(k249_88836_5) or (k249_1399648_21) or (k249_1448588_1)
R04535	(k249_88836_5) or (k249_1399648_21) or (k249_1448588_1)
R04537	(k249_88836_5) or (k249_1399648_21) or (k249_1448588_1)
R04544	(k249_88836_5) or (k249_1399648_21) or (k249_1448588_1)
R04568	(k249_88836_5) or (k249_1399648_21) or (k249_1448588_1)
R04954	(k249_88836_5) or (k249_1399648_21) or (k249_1448588_1)
